unit,intervention,metric,2021-01-31 00:00:00,2021-02-28 00:00:00,2021-03-31 00:00:00,2021-04-30 00:00:00,2021-05-31 00:00:00,2021-06-30 00:00:00,2021-07-31 00:00:00,2021-08-31 00:00:00,2021-09-30 00:00:00,2021-10-31 00:00:00,2021-11-30 00:00:00,2021-12-31 00:00:00
0,Weekly Emails,monthly_sales,276.34238829625866,121.6582204298137,149.55224236495394,379.42233452732205,368.18725915494815,208.78023661629933,174.85284357545697,436.1673092356381,372.49186897983327,270.4638712694172,186.32022173899736,427.1279501265003
1,Daily Emails,monthly_sales,198.70051141689572,86.2714528917678,106.62129371707263,281.82991361764596,280.3764878995895,151.0448960180136,124.82593005298871,332.16337076047796,278.7709497919773,202.7549482641461,141.38708513661817,326.527632085895
2,Weekly Emails,monthly_sales,161.2081435112073,86.82162591989402,99.08277153446248,236.82600275182995,251.2528751388249,133.4740392102652,111.57752668833243,292.9724937072387,239.49714255287245,183.89990584018346,143.89767761824427,291.3157217086024
3,Daily Emails,monthly_sales,159.40526913751006,111.11477493743328,100.59112894860604,202.28491847491716,187.0929404464375,142.32313015464445,120.9287802531763,232.02566342578587,198.89523710655016,155.83361144340716,144.9386751914771,226.60648312043267
4,No emails,monthly_sales,103.01189017189098,64.68338470991962,72.89249992807578,142.20082215057053,151.81650345506608,88.5543967838693,78.08617693092496,171.3638848672344,144.00350882292886,116.1639924318508,94.01727768776635,170.90882729140625
5,Weekly Emails,monthly_sales,193.4049378064555,100.28140219612834,113.66437425146837,273.4083679929411,277.54244479910585,156.29459430709048,130.8375028999115,327.4776451352215,272.85799461773604,205.74478740865567,157.52370000971825,323.3730777715108
6,Daily Emails,monthly_sales,186.73712576672713,106.49794512006991,99.4359495593927,264.9282236767429,256.31501209610224,158.44481609805578,126.27706996680436,321.93872847411944,263.00851085793965,194.59418822922032,167.9278139321061,315.76927641044455
7,No emails,monthly_sales,116.38704887502763,78.37059878161907,79.36739362583779,152.54306780919646,152.333751332653,102.34820481013423,89.25048234005827,178.52850770940918,152.2754067285685,122.04068801423736,105.9073430779719,176.36288513456554
8,Weekly Emails,monthly_sales,111.77653847293318,77.98970566866316,76.80422189224633,175.49783613794375,198.64774417923036,105.14112459108877,86.42698201646112,233.5949362897905,182.408464981744,147.30932014391735,134.0759992111257,234.79979043577623
9,Weekly Emails,monthly_sales,244.76056792410878,118.45271269514852,135.86977900471177,337.13857596064383,328.930990674083,191.63888153528694,159.90989345336237,392.61305889897517,332.3878651498445,244.7469262796998,180.22921800910936,385.09348205450675
10,Daily Emails,monthly_sales,209.17378648281635,90.15242289657412,108.76045887234464,303.9614498163285,304.8020996926207,160.25139439955038,129.84618569749983,364.7863497270432,301.7682141504955,218.39598444008425,155.6828076732313,359.0007962807049
11,No emails,monthly_sales,107.50539678019734,66.25414142130934,82.09304671497581,119.82470799535785,113.44982716473822,85.87071577230253,83.57966634148616,118.07961675294999,116.0010434744128,96.10979808329036,67.1453311731172,115.62759550319647
