unit,intervention,metric,2020-01-31 00:00:00,2020-02-29 00:00:00,2020-03-31 00:00:00,2020-04-30 00:00:00,2020-05-31 00:00:00,2020-06-30 00:00:00,2020-07-31 00:00:00,2020-08-31 00:00:00,2020-09-30 00:00:00,2020-10-31 00:00:00,2020-11-30 00:00:00,2020-12-31 00:00:00
0,No emails,monthly_sales,399.2315834887234,391.21425269182345,196.61782816081868,341.06246261912537,356.1899883513102,279.05428933183435,332.10070719155397,334.98168797678807,350.8813834625799,200.65920146487892,334.8016557385649,262.98930141335086
1,No emails,monthly_sales,362.2229852011319,351.2963808253015,185.23524347202846,299.00191609519675,321.04394798420304,241.80473027029527,287.67196795421324,307.8194335506995,311.80915140783105,190.99884792684963,303.6905197210446,236.9868177717958
2,No emails,monthly_sales,261.20038152452065,239.6557310345084,157.6405196078331,174.81459085441628,220.32887459748446,131.39651282859685,156.89097437007993,236.0445152230763,195.78496166314306,168.51618890786037,216.54884926041868,161.20509925673534
3,No emails,monthly_sales,191.76803288161537,194.3081815777054,106.96156843083882,188.06544014229056,183.13196119309865,164.28297667213297,186.55272149011014,162.24449565877472,189.6984313834114,106.81882051210343,170.50087046846642,147.7267534502085
4,No emails,monthly_sales,175.0444453319845,166.65367092710812,114.66848553427174,134.92825740483215,149.13224510791898,116.35023854488762,132.65593658634188,158.61767102408874,136.94079579487214,116.39279066502564,147.99099634323852,118.01629373292127
5,No emails,monthly_sales,205.24854648428382,213.58504319316327,109.61573434827751,214.15033301318527,192.0340556973512,196.61209411518732,223.73612258526856,169.65391703442467,201.86948929159664,103.1146698005424,179.4964147303034,156.57818680807733
6,No emails,monthly_sales,302.90139766384294,289.99778789134035,162.70804123271895,241.9820780013255,271.60376003264264,190.29235960942077,225.28310581856164,261.6111243606304,261.7537713201248,171.67124439611703,257.1127697994857,201.67865407984863
7,No emails,monthly_sales,167.44088961250372,162.99914877207647,104.65189299005468,144.4270104274169,154.72454273095298,122.26216543064558,138.08101225501113,148.36069995747235,151.91802573557567,107.9354600110713,147.74736321653353,124.30090369504019
8,No emails,monthly_sales,193.84800746025292,167.39780935295258,136.2722086890862,99.81540202475195,157.45202065727142,64.76923750616052,77.28352745970523,186.21291933225893,126.62949369283513,150.38103659099735,160.45007172289206,114.8699778095413
9,No emails,monthly_sales,268.0774252423733,281.48529884548907,127.97527475187376,287.01012977911915,254.03812668369247,259.71771812794,298.9207073311645,215.35884655462374,271.8353452774683,119.38115286713769,233.487766990384,202.51060959572396
10,No emails,monthly_sales,422.24644953637096,405.1276920952778,212.80285411305533,335.336752087951,372.000360879098,263.0380816236644,316.44529679993354,359.67641974023314,357.2484752629823,222.88624610234936,351.9143534682506,269.49321536987634
11,No emails,monthly_sales,123.58675054564388,127.41497176264835,85.15333269299776,124.11436376787383,109.57900863826647,122.88216255546119,135.30194489432654,109.17699476587663,109.79850943342323,78.79137202805963,108.21739254347311,96.49408719494834
12,No emails,monthly_sales,206.78343083418832,198.3367300374791,123.2430876581211,167.69123727258503,186.65143723291712,136.77570805240825,157.66223373869562,182.52002252019892,179.522601850867,128.7144894336498,178.60536049387542,144.54584023285645
13,No emails,monthly_sales,304.858261151052,309.13955813301305,147.29294912668527,296.2258253087547,287.67733906733287,252.1396088498259,293.58070941362035,250.20585040036676,299.018174161378,146.99706540237935,264.6672704464649,221.66912711911246
14,No emails,monthly_sales,250.12484890161423,235.04229669613224,145.62193223159053,186.76943467194917,220.48001946537755,144.80837201971758,170.4490244677671,221.7571972293844,206.1106002411238,154.90832840697826,212.0880649789909,164.796279670415
15,No emails,monthly_sales,179.59810739775017,180.92091024454172,103.88258833464438,172.91438220978455,170.24641494873111,151.41545646861098,171.30938031516357,153.66268321611653,174.63544607580712,103.99664782107872,159.61697599514923,138.07137979692027
16,No emails,monthly_sales,239.12797938249898,200.14288741518638,165.9580405321769,101.33865262697925,185.3677265386596,54.20298443609791,69.88000661930866,231.80977994485428,138.67892343602003,185.95431703684116,192.0927521212459,127.87271948255682
17,No emails,monthly_sales,308.03587943947093,324.15326881537294,141.5162509651772,330.04827989754244,289.3848527125886,299.02007657621687,345.97776708710796,245.32167029370723,309.7491454653424,130.38745372009816,265.7934109537135,228.46000510764327
18,No emails,monthly_sales,358.1318413873637,334.55092167211126,192.5802486664522,260.427204217623,314.8045204219756,192.19685709676799,232.31756316395234,313.01685624334743,293.98185512487646,208.38911449502226,299.9960018048873,226.49312546284432
19,No emails,monthly_sales,407.33070449399946,394.6175293574077,202.7793863072073,335.66013226368665,362.99459774034284,267.50158019550634,319.96835153673584,344.45348727060576,353.78910358005913,210.75806754735433,341.5661600176211,265.4820474803766
20,No emails,monthly_sales,299.72592280232436,280.2907179341743,170.52003297345865,215.58439484578466,255.708301383458,167.0597348633181,199.7309070557217,265.0740174598511,233.8951759443447,179.91935888784633,248.39324497325626,186.9439401750375
21,No emails,monthly_sales,334.9271093532667,326.8505670321386,169.76924600067414,286.2047534604271,305.5804799334788,230.20744622219007,272.11929082726436,283.1485407421919,302.8056777971522,176.66121371033574,285.665140879442,227.91154072640475
22,No emails,monthly_sales,371.32904898499953,361.7930473243496,186.3580740333653,312.71620636017656,333.0205600038732,252.6001428520523,300.28037035103625,313.611238107743,326.99071154431147,192.4549578300253,312.9813171749082,246.16391293118997
23,No emails,monthly_sales,189.64110153311665,158.258015276371,137.71940708140508,82.96118960508193,153.82260183361805,43.22550721471627,52.98816808975771,186.013096365493,119.02476590763352,156.20555486721074,157.44890289393433,109.98943215469131
24,No emails,monthly_sales,173.18255284283927,141.6988731859947,131.64042995235772,67.76890424859087,138.9092145937891,30.92983395754494,37.944656861346054,173.07236663157428,103.69338727249789,150.13711045576684,143.8856599560097,99.52375588937656
